"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013.3123",264.238433541321,84.6523447906265,603.285351571457,36.654460526254,864.926010142245
"2013.3151",258.397661241871,78.682109020327,605.628131663982,32.3275047375207,876.426625256232
"2013.3178",221.980096226766,61.5487070865771,545.132809453497,22.8429302566928,801.878995148325
"2013.3205",213.52055940546,57.6131172417345,531.307414164639,20.7334380621504,785.105050228887
"2013.3233",193.91616115848,49.5137806951292,495.315365222249,16.7085152036907,738.507257671151
"2013.3260",208.011173782117,55.1154037711347,522.118405704461,19.4241340234157,773.836386722537
"2013.3288",214.385372693839,57.0006516692472,537.233936378578,20.1688399708797,795.789994648041
"2013.3315",219.679519221821,58.1596049492532,551.620819886439,20.4776290777273,817.671178593465
"2013.3342",221.479305465522,57.7737325319707,560.061734208427,19.9938192395723,832.183842115501
"2013.3370",220.945841062082,56.5091122311204,563.918701827971,19.1067290848525,840.571487571447
"2013.3397",218.48397230864,54.6485650461139,563.447720391572,17.9915083116749,842.83425235196
"2013.3425",217.090256559586,53.3576505491473,564.390814705698,17.1969871115005,846.55454762862
"2013.3452",216.503807887811,52.4304059598199,566.697003334942,16.5930530195522,851.960892194973
"2013.3479",216.626456260121,51.7819039255385,570.381075823835,16.1251828581057,859.206993304588
"2013.3507",217.074867861215,51.2424051180249,574.808644273052,15.7083056019542,867.523927637061
"2013.3534",217.497794853103,50.6781094944169,579.30469232718,15.2814672145324,876.021597542851
"2013.3562",217.67694401668,50.0208896565406,583.381712410373,14.8181046713377,884.011495887903
"2013.3589",217.671679211438,49.3073928165343,587.086522354835,14.3385793727027,891.509371113033
"2013.3616",217.57176552798,48.5769165425986,590.564538538752,13.861752105012,898.687932345213
"2013.3644",217.468392318302,47.8630185561188,593.992414322242,13.4020087613934,905.780232514884
"2013.3671",217.411679664304,47.18071370645,597.482765661233,12.9646495290004,912.945282336684
"2013.3699",217.405718939829,46.5278997379584,601.060012013534,12.5475655309465,920.226461519256
"2013.3726",217.426996611213,45.894045352332,604.687208766883,12.1455648320623,927.580912945768
"2013.3753",217.452554476726,45.2704925062222,608.320491550941,11.7547472860715,934.951182361409
"2013.3781",217.468528721317,44.6527157048908,611.929600368431,11.3731941864675,942.29495377003
"2013.3808",217.472208904066,44.0402958146075,615.505511251518,11.0007191507888,949.597578784921
"2013.3836",217.467984709998,43.435017493721,619.054704176936,10.6379476846976,956.866000284308
"2013.3863",217.461773482965,42.8388204302595,622.588617132348,10.2854636312668,964.115073949451
"2013.3890",217.45740249103,42.2526897496377,626.115745110246,9.94341277411212,971.356577910878
"2013.3918",217.455978976627,41.6766281258318,629.639444075003,9.61154871470834,978.59565075974
