"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"13.76667",94.2507250991721,43.2642031048555,126.07476735874,-42.8899208179697,140.023716972862
"13.80000",94.2507250991721,43.1023384479582,126.130201736446,-43.1384444923819,140.100047510461
"13.83333",94.2507250991721,42.9401869674969,126.185501742626,-43.3850553410728,140.176185017468
"13.86667",94.2507250991721,42.7777434760804,126.240668206481,-43.6297886858508,140.252130706632
"13.90000",94.2507250991721,42.615002720339,126.295701948909,-43.8726787880504,140.327885778437
"13.93333",94.2507250991721,42.4519593790352,126.350603782625,-44.1137588927862,140.403451421281
"13.96667",94.2507250991721,42.2886080611211,126.405374512271,-44.3530612708503,140.478828811636
"14.00000",94.2507250991721,42.1249433037415,126.460014934525,-44.590617258404,140.554019114218
"14.03333",94.2507250991721,41.9609595701794,126.514525838215,-44.8264572946053,140.629023482149
"14.06667",94.2507250991721,41.7966512477427,126.568908004421,-45.0606109573028,140.703843057113
"14.10000",94.2507250991721,41.6320126455884,126.623162206585,-45.2931069969144,140.778478969515
"14.13333",94.2507250991721,41.4670379924837,126.67728921061,-45.5239733686053,140.852932338636
