"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"17.36667",37.6511352022894,5.00343706394673,88.9339158192931,-1.00270883405158,122.132004535196
"17.40000",36.6114184533148,4.49991375875452,87.5519284111243,-1.30633932656389,120.606689486199
"17.43333",54.7224088956863,12.5271090149472,115.883666520362,0.879494555672613,154.632905239259
"17.46667",55.5283579983396,12.9968549312056,116.945593471437,1.06092840073547,155.813767039489
"17.50000",48.1698454246978,8.54969398558567,107.959793067658,-0.0667719901922964,146.271219149195
"17.53333",47.7484547912009,8.32015539890115,107.411335828794,-0.110009099707733,145.66914852014
"17.56667",50.5361385384871,9.79462897786695,111.202075314063,0.055833811236203,149.933838907399
"17.60000",50.7518707884606,9.91061110684187,111.495339521893,0.0738192012332746,150.264075909065
"17.63333",49.6673099974325,9.30315387966159,110.088009912098,0.00271576540016534,148.718876285518
"17.66667",49.5655346718291,9.24400333714457,109.962263533469,0.000382203477724181,148.584747453785
"17.70000",49.9824578804072,9.46816659166425,110.523499097151,0.0144055734815551,149.213085406737
"17.73333",50.0292804236696,9.49042541824869,110.593898234027,0.0163325340267699,149.296253363498
"17.76667",49.8684153700227,9.39849059063155,110.390472031504,0.00825925027214083,149.076202998587
"17.80000",49.8474943525454,9.38355843169467,110.371435676411,0.00703780907730469,149.060265356682
"17.83333",49.9093991329931,9.41403614786333,110.461790940485,0.0091755129537522,149.165565372639
"17.86667",49.9185861927262,9.41561766956817,110.482499613724,0.00915927338599239,149.19366447258
"17.90000",49.8947660619797,9.39909083024605,110.459637379458,0.0077712092193305,149.173487732393
"17.93333",49.8907926766462,9.39345623419691,110.462968845484,0.00723277739230949,149.182330650426
"17.96667",49.8999479896626,9.3950208995374,110.483634536655,0.00721683076896752,149.210381506193
"18.00000",49.9016468059781,9.39249793362377,110.49445349191,0.00691098548495803,149.227520348466
"18.03333",49.8981305249096,9.38711683246528,110.498385792621,0.00641318896603319,149.237027772734
"18.06667",49.8974112050446,9.38327018451245,110.506010155502,0.00603164589040474,149.250625906345
"18.10000",49.8987604721513,9.38055811334309,110.516365234356,0.00573319107845641,149.267249633972
"18.13333",49.8990626212583,9.37727301492165,110.525336797148,0.00540345055390382,149.282339864537
"18.16667",49.8985453270577,9.3735398327203,110.533225426859,0.00505280755749924,149.296229675147
"18.20000",49.8984192748345,9.37002193614155,110.541629884047,0.00472407640096386,149.310690712681
"18.23333",49.8986174199838,9.36668251654442,110.550461669636,0.00441421547293855,149.325624918214
"18.26667",49.8986696990032,9.36326408418083,110.559100004817,0.00410756954151966,149.340344369965
"18.30000",49.8985938707215,9.35977639408451,110.567568330456,0.00380521468157847,149.354875041346
"18.33333",49.89857229938,9.35631931408017,110.57610749618,0.00351314156970273,149.369483836563
