DateTime,ManagedEntityGuid,Objectname,CounterName,SampleValue,AlertName,Severity
11/20/2020 14:27,0C20EBB5-65F4-8429-C23C-410967AAE913,Memory,PercentMemoryUsed,46.74708931,NULL,NULL
11/20/2020 14:27,03CD008D-FA21-A6CF-785F-57B9D6F056D6,LogicalDisk,% Idle Time,95.38756561,NULL,NULL
11/20/2020 14:27,A1A8A538-8B75-B8F5-5F44-7159F192F602,DirectoryServices,LDAP Client Sessions,8,NULL,NULL
11/20/2020 14:27,03CD008D-FA21-A6CF-785F-57B9D6F056D6,LogicalDisk,Current Disk Queue Length,0,NULL,NULL
11/20/2020 14:27,0C20EBB5-65F4-8429-C23C-410967AAE913,Memory,Pages/sec,515.5792847,NULL,NULL
11/20/2020 14:27,03CD008D-FA21-A6CF-785F-57B9D6F056D6,LogicalDisk,Avg. Disk sec/Transfer,0.013721346,NULL,NULL
11/20/2020 14:27,0C20EBB5-65F4-8429-C23C-410967AAE913,System,Processor Queue Length,1,NULL,NULL
11/20/2020 14:27,5D2A12BA-4259-3807-DD50-D94AC31910B6,Network Adapter,Bytes Total/sec,8190.256836,NULL,NULL
11/20/2020 14:27,A1A8A538-8B75-B8F5-5F44-7159F192F602,Processor,% Processor Time,17.53963852,NULL,NULL
11/20/2020 14:27,0C20EBB5-65F4-8429-C23C-410967AAE913,Processor Information,% Processor Time,17.53963852,NULL,NULL
11/20/2020 14:27,A1A8A538-8B75-B8F5-5F44-7159F192F602,Memory,Available Bytes,2287448064,NULL,NULL
11/20/2020 14:27,7B560E58-3C35-EAE2-AC60-499092C6B270,LogicalDisk,Avg. Disk sec/Transfer,0.007424319,NULL,NULL
11/20/2020 14:27,37C560E9-B7FA-93EA-E6EB-DCA81AC0AC87,LogicalDisk,Current Disk Queue Length,0,NULL,NULL
11/20/2020 14:27,37C560E9-B7FA-93EA-E6EB-DCA81AC0AC87,LogicalDisk,% Idle Time,77.43575287,NULL,NULL
11/20/2020 14:27,7B560E58-3C35-EAE2-AC60-499092C6B270,LogicalDisk,Current Disk Queue Length,1,NULL,NULL
11/20/2020 14:27,7B560E58-3C35-EAE2-AC60-499092C6B270,LogicalDisk,% Idle Time,77.02684021,NULL,NULL
11/20/2020 14:27,796D4280-6CEF-C17B-6B6A-F807E4AD6496,Health Service Management Groups,Send Queue % Used,0,NULL,NULL
